Code,ZipLow,ZipHigh
AU,4372,4372
AU,4373,4373
AU,4374,4374
AU,4375,4375
AU,4376,4376
AU,4377,4377
AU,4378,4378
AU,4380,4380
AU,4381,4381
AU,4382,4382
AU,4383,4383
AU,4384,4384
AU,4385,4385
AU,4387,4387
AU,4388,4388
AU,4390,4390
AU,4400,4400
AU,4401,4401
AU,4402,4402
AU,4403,4403
AU,4404,4404
AU,4405,4405
AU,4406,4406
AU,4407,4407
AU,4408,4408
AU,4410,4410
AU,4411,4411
AU,4412,4412
AU,4413,4413
AU,4415,4415
AU,4416,4416
AU,4417,4417
AU,4418,4418
AU,4419,4419
AU,4420,4420
AU,4421,4421
AU,4422,4422
AU,4423,4423
AU,4424,4424
AU,4425,4425
AU,4426,4426
AU,4427,4427
AU,4428,4428
AU,4511,4511
AU,4512,4512
AU,4514,4514
AU,4515,4515
AU,4516,4516
AU,4517,4517
AU,4518,4518
AU,4519,4519
AU,4521,4521
AU,4550,4550
AU,4580,4580
AU,4581,4581
AU,4600,4600
AU,4601,4601
AU,4605,4605
AU,4606,4606
AU,4608,4608
AU,4610,4610
AU,4611,4611
AU,4612,4612
AU,4613,4613
AU,4614,4614
AU,4615,4615
AU,4620,4620
AU,4621,4621
AU,4625,4625
AU,4626,4626
AU,4627,4627
AU,4630,4630
AU,4650,4650
AU,4655,4655
AU,4659,4659
AU,4660,4660
AU,4662,4662
AU,4670,4670
AU,4671,4671
AU,4673,4673
AU,4674,4674
AU,4676,4676
AU,4677,4677
AU,4678,4678
AU,4680,4680
AU,4694,4694
AU,4695,4695
AU,4697,4697
AU,4699,4699
AU,4700,4700
AU,4701,4701
AU,4702,4702
AU,4703,4703
AU,4704,4704
AU,4705,4705
AU,4706,4706
AU,4707,4707
AU,4709,4709
AU,4710,4710
AU,4711,4711
AU,4712,4712
AU,4713,4713
AU,4714,4714
AU,4715,4715
AU,4716,4716
AU,4717,4717
AU,4720,4720
AU,4723,4723
AU,4728,4728
AU,4736,4736
AU,4737,4737
AU,4738,4738
AU,4739,4739
AU,4740,4740
AU,4741,4741
AU,4742,4742
AU,4743,4743
AU,4744,4744
AU,4745,4745
AU,4746,4746
AU,4750,4750
AU,4751,4751
AU,4753,4753
AU,4754,4754
AU,4756,4756
AU,4757,4757
AU,4798,4798
AU,4799,4799
AU,4800,4800
AU,4801,4801
AU,4802,4802
AU,4803,4803
AU,4804,4804
AU,4805,4805
AU,4806,4806
AU,4807,4807
AU,4808,4808
AU,4809,4809
AU,4810,4810
AU,4811,4811
AU,4812,4812
AU,4813,4813
AU,4814,4814
AU,4815,4815
AU,4816,4816
